pozisyon,sirket,sehir,aciklama,gereksinimler
Veri Analisti,BüyükVeri Ltd.,Belirtilmemiş,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Veri Mühendisi,Mobilify,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi"
Frontend Developer,KodaYazılım,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,Techsoft,Ankara,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği"
Python Geliştiricisi,KodaYazılım,Kocaeli,Belirtilmemiş,"En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Veri Mühendisi,DataTech,Belirtilmemiş,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,WebZone,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.",Belirtilmemiş
Frontend Developer,Belirtilmemiş,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Frontend Developer,Techsoft,Belirtilmemiş,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Veri Analisti,BüyükVeri Ltd.,Belirtilmemiş,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Veri Analisti,Techsoft,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.",Belirtilmemiş
Frontend Developer,DataTech,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İyi derecede İngilizce bilgisi, Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi"
Java Yazılım Mühendisi,DataTech,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,DeepAI,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,Mobilify,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Frontend Developer,DataTech,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Mobil Uygulama Geliştiricisi,Mobilify,Antalya,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe"
Makine Öğrenmesi Uzmanı,WebZone,Bursa,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,VeriPlus,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi"
Web Geliştirici,WebZone,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Python Geliştiricisi,KodaYazılım,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık"
Python Geliştiricisi,BüyükVeri Ltd.,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,Mobilify,Bursa,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,İzmir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Veri Mühendisi,BüyükVeri Ltd.,Eskişehir,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Java Yazılım Mühendisi,DeepAI,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe"
Makine Öğrenmesi Uzmanı,Techsoft,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Veri Mühendisi,WebZone,Gaziantep,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,Techsoft,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Web Geliştirici,Mobilify,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Veri Mühendisi,Mobilify,Gaziantep,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği"
Veri Analisti,DataTech,Eskişehir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi"
Makine Öğrenmesi Uzmanı,VeriPlus,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,DataTech,Antalya,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,VeriPlus,Ankara,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği"
Python Geliştiricisi,KodaYazılım,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,DeepAI,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
